date,vol
2025-03-31,17.462008274531247
2025-04-01,21.273907614814583
2025-04-02,20.194115000047447
2025-04-03,20.060166620932954
2025-04-04,18.64070050759723
2025-04-07,21.240814872385904
2025-04-08,20.236519622864865
2025-04-09,20.52889291194606
2025-04-10,20.400258336923013
2025-04-11,19.05769628166235
2025-04-14,23.298186516906945
2025-04-15,20.887728571840515
2025-04-16,21.29160092807175
2025-04-17,20.43493100215496
2025-04-18,18.930775025883676
2025-04-21,20.72377464719119
2025-04-22,19.394939141569143
2025-04-23,21.110103438702605
2025-04-24,18.731603200051104
2025-04-25,19.48374709184193
2025-04-28,17.74028562978169
2025-04-29,17.98134023767326
2025-04-30,19.14864233318645
2025-05-01,19.941073084229107
2025-05-02,16.06766987565651
2025-05-05,18.47979118423675
2025-05-06,20.41381207618654
2025-05-07,19.36913609873774
2025-05-08,20.953149546895535
2025-05-09,18.5440361197302
