date,vol
2025-03-31,20.8731856073392
2025-04-01,19.31221634545385
2025-04-02,18.657245105452294
2025-04-03,21.053845783037396
2025-04-04,20.76699157312891
2025-04-07,20.40044330324843
2025-04-08,18.193148540487307
2025-04-09,18.800916570542146
2025-04-10,22.03005816760281
2025-04-11,22.978979472808234
2025-04-14,20.064306327983775
2025-04-15,18.576825091859313
2025-04-16,16.48148413564975
2025-04-17,18.80249941629336
2025-04-18,21.570024923576423
2025-04-21,22.624702350297728
2025-04-22,20.340470711518545
2025-04-23,21.020953172637725
2025-04-24,19.368020035697107
2025-04-25,19.95929115677184
2025-04-28,19.192511481929014
2025-04-29,24.116681737113087
2025-04-30,19.986713519935723
2025-05-01,19.119982116248313
2025-05-02,18.43887678020588
2025-05-05,18.63202337175671
2025-05-06,19.146417316325913
2025-05-07,18.930106239115904
2025-05-08,20.966633662786176
2025-05-09,19.903088945143644
