date,vol
2025-03-31,22.017400170325637
2025-04-01,21.56831648857301
2025-04-02,22.81603299375907
2025-04-03,19.72698097827651
2025-04-04,22.214442255021297
2025-04-07,19.607207419777545
2025-04-08,18.689470545417954
2025-04-09,21.48400299701528
2025-04-10,18.925926734637663
2025-04-11,17.521956928712434
2025-04-14,21.897974921250047
2025-04-15,18.798271269494506
2025-04-16,19.72219330753406
2025-04-17,18.670061826601042
2025-04-18,18.910413473562453
2025-04-21,20.655645175122363
2025-04-22,20.725912082572684
2025-04-23,24.35452018143858
2025-04-24,17.461193589690605
2025-04-25,20.318481132563164
2025-04-28,21.435139454710534
2025-04-29,21.513524473677638
2025-04-30,20.984829042070636
2025-05-01,21.198741463616592
2025-05-02,19.706677213432698
2025-05-05,19.288827852897086
2025-05-06,20.557126952688577
2025-05-07,17.476117193527333
2025-05-08,20.978338439668164
2025-05-09,19.51871658716727
