date,open,high,low,close
2025-03-28,49.45577230895827,49.75144960210312,48.92112402298751,49.06053891632503
2025-03-31,48.99729426700307,49.3375246942777,48.05741926449545,48.278580085350455
2025-04-01,47.82517334610763,48.68591512929615,47.284724310708285,47.88330822558597
2025-04-02,48.65938043913394,48.3363186809706,47.488194264831854,47.97093295219691
2025-04-03,48.41005017539451,48.463144359832306,47.24856931877497,47.77529517468208
2025-04-04,46.451825967456365,48.169139086663876,46.174016951499745,46.911859703755674
2025-04-07,47.95377714583761,47.82466385459012,46.764790142507096,46.625243658681526
2025-04-08,46.79589444095017,47.531365325938495,45.65258577843719,46.649740101519804
2025-04-09,46.980217208549284,48.252251638161944,45.93823975112565,47.45385983924022
2025-04-10,49.01943788430412,48.913209452749435,46.880518437147074,48.58025782454322
2025-04-11,47.419094350089935,48.29912145901756,47.33888818591408,47.830125565829796
2025-04-14,47.522230107954655,48.695950524904916,47.023176569125056,47.99452699681801
2025-04-15,49.35750448339971,50.34261394890732,49.34103690798748,49.96104745426611
2025-04-16,48.684956023331125,49.733674489904324,48.81172612430479,49.22648861279554
2025-04-17,48.83207966678661,50.1037049659089,49.10071993406051,48.92583759663584
2025-04-18,49.32107798737153,50.169712716200074,48.847935707663815,49.88440497090716
2025-04-21,50.15733224971535,49.76111832274365,49.18485235265019,50.123946284575204
2025-04-22,49.18997140232925,51.04440722345184,49.81280853261259,50.442779701629554
2025-04-23,50.055097296189125,51.40489994115317,49.59110633420986,49.62190960203782
2025-04-24,51.42475119880392,52.45563130657369,51.12277160830924,51.662850236708834
2025-04-25,49.72609951267791,50.59641527183413,49.53270020110773,49.21216888991587
2025-04-28,48.01253353171186,49.23205238383204,48.3720657332973,49.53110711953141
2025-04-29,46.6615485300716,47.192231381737564,45.957076554935526,46.46496496861774
2025-04-30,48.7880041078004,50.19195811658836,47.53854658184092,48.37766174919842
2025-05-01,49.13829650797366,50.225227750366095,48.24831956194734,49.86491574205961
2025-05-02,48.082069777885685,48.646539901069495,46.947406714558845,47.69460164444372
2025-05-05,47.874813464416725,47.775821359085135,47.24465104599045,47.84690559106533
2025-05-06,46.79745369518115,47.51437219339051,45.983902915717245,45.570194911327306
2025-05-07,46.39592666638371,47.9619304957265,45.59927230697309,46.81565462745144
2025-05-08,47.07554148641031,48.27269080292462,47.30719456006698,47.06897281707909
